"시설명","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","설치장소설명","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","동시사용가능대수","공기주입가능여부","휴대전화충전가능여부","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","작업일시"
"회기역","서울특별시","동대문구","11230","서울특별시 동대문구 회기로 195(휘경동)","서울특별시 동대문구 휘경동 191-3","37.59021215","127.0576234","회기역(2번출구 앞)","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"답십리1동주민센터","서울특별시","동대문구","11230","서울특별시 동대문구 사가정로 30(답십리동)","서울특별시 동대문구 답십리동 477-9","37.5718469","127.0512749","답십리1동주민센터 3층 도서관입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"휘경1동주민센터","서울특별시","동대문구","11230","서울특별시 동대문구 외대역동로6길 3","서울특별시 동대문구 휘경동 373","37.59291476","127.065738","휘경1동주민센터 1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"피노키오자립생활센터","서울특별시","동대문구","11230","서울특별시 동대문구 제기로38길 42(청량리동)","서울특별시 동대문구 청량리동 41-7","37.5844302","127.0492794","피노키오자립생활센터(＂)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"새날동대문장애인자립생활센터","서울특별시","동대문구","11230","서울특별시 동대문구 장한로43(장안동)","서울특별시 동대문구 장안동 430-3","37.56510485","127.0667099","새날동대문장애인자립생활센터(＂)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"고려대역","서울특별시","동대문구","11230","서울특별시 동대문구 고산자로 572(제기동)","서울특별시 동대문구 제기동 1149-8","37.59039953","127.0367126","고려대역(개찰구 내)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"답십리역","서울특별시","동대문구","11230","서울특별시 동대문구 천호대로 295(답십리동)","서울특별시 동대문구 답십리동 494-2","37.56645778","127.053853","답십리역(B2 대합실)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"장한평역","서울특별시","동대문구","11230","서울특별시 동대문구 천호대로 405(장안동)","서울특별시 동대문구 장안동 416-6","37.56201341","127.0641782","장한평역(개찰구 내 B2 대합실)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"제기동역","서울특별시","동대문구","11230","서울특별시 동대문구 왕산로 95(제기동)","서울특별시 동대문구 용두동 230-1","37.5783066","127.0339823","제기동역(B1 5,6번 출구방향 매표소 옆)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"응암1동 주민센터","서울특별시","은평구","11380","서울특별시 은평구 백련산로 179","서울특별시 은평구 응암동 96-38","37.6006784300","126.9267516000","응암1동주민센터 정문","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 은평구 응암1동주민센터","02-3159-4676","2021-09-01","3110000","2023-03-15 14:37:55.0"
"수색동 주민센터","서울특별시","은평구","11380","서울특별시 은평구 수색로 280","서울특별시 은평구 수색동 384-12","37.5835150900","126.8936768000","주민센터1층 민원실","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","수색동주민센터","02-351-5443","2021-09-01","3110000","2023-03-15 14:37:55.0"
"서부장애인종합복지관","서울특별시","은평구","11380","서울특별시 은평구 갈현로11길 30","서울특별시 은평구 구산동 191-1","37.6058721900","126.9068521000","복지관 정문 입구","09:00","18:00","09:00","17:00","00:00","00:00","2","N","N","서부장애인종합복지관","02-351-3982","2021-09-01","3110000","2023-03-15 14:37:55.0"
"은평구 장애인 이동기기 수리센터","서울특별시","은평구","11380","서울특별시 은평구 서오릉로 19","서울특별시 은평구 녹번동 81-27","37.6029119300","126.9256437000","소형.휴대용","09:00","18:00","00:00","00:00","00:00","00:00","1","N","N","은평장애인자립생활센터","02-374-0818","2021-09-01","3110000","2023-03-15 14:37:55.0"
"(사)서울시지체장애인협회 은평구지회","서울특별시","은평구","11380","서울특별시 은평구 가좌로 276-9","서울특별시 은평구 신사동 34-16","37.5938511400","126.9132272000","출입구 오른편","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울시지체장애인협회 은평구지회","02-376-1703","2021-09-01","3110000","2023-03-15 14:37:55.0"
"증산역","서울특별시","은평구","11380","서울특별시 은평구 증산로 306","서울특별시 은평구 증산동 199-7","37.5842165400","126.9100346000","여직원휴게실 옆 B1층 대합실","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6311-6171","2021-09-01","3110000","2023-03-15 14:37:55.0"
"새절역","서울특별시","은평구","11380","서울특별시 은평구 증산로 400","서울특별시 은평구 신사동 352-2","37.5918417800","126.9138891000","대합실 아이센터 옆","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6311-6161","2021-09-01","3110000","2023-03-15 14:37:55.0"
"응암역","서울특별시","은평구","11380","서울특별시 은평구 증산로 477 지하철6호선응암역사","서울특별시 은평구 신사동 22-15","37.5987546500","126.9154879000","B1층 엘리베이터 우측 전실 앞","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6311-6101","2021-09-01","3110000","2023-03-15 14:37:55.0"
"역촌역","서울특별시","은평구","11380","서울특별시 은평구 서오릉로 63","서울특별시 은평구 녹번동 153-31","37.6060452400","126.9229823000","B1층 4번출구와 엘리베이터2호기 사이","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6311-6111","2021-09-01","3110000","2023-03-15 14:37:55.0"
"연신내역","서울특별시","은평구","11380","서울특별시 은평구 통일로 849","","37.6189675600","126.9211781000","대합실 공공전화박스 옆","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6110-3211","2021-09-01","3110000","2023-03-15 14:37:55.0"
"독바위역","서울특별시","은평구","11380","서울특별시 은평구 불광로 129-1","서울특별시 은평구 불광동 13-6","37.6184090100","126.9328282000","B1층 엘리베이터 옆","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6311-6131","2021-09-01","3110000","2023-03-15 14:37:55.0"
"불광역","서울특별시","은평구","11380","서울특별시 은평구 통일로 723-1","서울특별시 은평구 대조동 13-10","37.6103503300","126.9299735000","고객서비스센터 앞","00:00","00:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-6110-3221","2021-09-01","3110000","2023-03-15 14:37:55.0"
"갈현1동주민센터","서울특별시","은평구","11380","서울특별시 은평구 갈현로 301","","37.6236871300","126.9166872000","1층 주차장 내부","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5092","2021-09-01","3110000","2023-03-15 14:37:55.0"
"불광2동주민센터","서울특별시","은평구","11380","서울특별시 은평구 연서로 41길 16","","37.6264190300","126.9272781000","민원실","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5062","2021-09-01","3110000","2023-03-15 14:37:55.0"
"응암2동주민센터","서울특별시","은평구","11380","서울특별시 은평구 백련산로 100","","37.5945823000","126.9230698000","북카페 내부","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5242","2021-09-01","3110000","2023-03-15 14:37:55.0"
"대조동주민센터","서울특별시","은평구","11380","서울특별시 은평구 연서로20길 24-3","","37.6141487900","126.9208026000","민원실","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5182","2021-09-01","3110000","2023-03-15 14:37:55.0"
"구산동주민센터","서울특별시","은평구","11380","서울특별시 은평구 갈현로17길 10","","37.6117256300","126.9103535000","1층 민원실 외부","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5152","2021-09-01","3110000","2023-03-15 14:37:55.0"
"역촌동주민센터","서울특별시","은평구","11380","서울특별시 은평구 연서로 59","","37.6044012400","126.9151783000","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-351-5302","2021-09-01","3110000","2023-03-15 14:37:55.0"
"은평노인종합복지관","서울특별시","은평구","11380","서울특별시 은평구 연서로 415","","37.6322515300","126.9299824000","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-385-1351","2021-09-01","3110000","2023-03-15 14:37:55.0"
"은평재활원","서울특별시","은평구","11380","서울특별시 은평구 갈현로 11길 30","","37.6056451900","126.9063428000","1층 입구 외부","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","해당기관","02-385-2046","2021-09-01","3110000","2023-03-15 14:37:55.0"
"행정청사","서울특별시","도봉구","30900","서울특별시 도봉구 방학로3길 117","서울특별시 도봉구 쌍문동 565","37.6579418","127.0388316","도봉구보건소(1층 로비 맞은편)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","도봉구 보건소","02-2091-4563","2021-08-13","3090000","2023-03-15 14:37:55.0"
"행정청사","서울특별시","도봉구","30900","서울특별시 도봉구 마들로 656","서울특별시 도봉구 방학동 720","37.66871613","127.0471314","도봉구청(1층 세움카페 옆)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","도봉구청","02-2091-3075","2021-08-13","3090000","2023-03-15 14:37:55.0"
"기타시설","서울특별시","도봉구","30900","서울특별시 도봉구 도봉로 575","서울특별시 도봉구 쌍문동 653","37.65640546","127.0387900463","지체장애인협회도봉구지회 (6층 복도 끝)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","지체장애인협회도봉구지회","02-907-0136","2021-08-13","3090000","2023-03-15 14:37:55.0"
"교통시설","서울특별시","도봉구","30900","서울특별시 도봉구 덕릉로 376","서울특별시 도봉구 창동 57-11","37.64569591","127.0509199921","녹천역(북부, 2번 출구)","05:07","00:25","05:07","00:25","05:07","00:25","2","N","N","녹천역(북부)","02-993-7788","2021-08-13","3090000","2023-03-15 14:37:55.0"
"교통시설","서울특별시","도봉구","30900","서울특별시 도봉구 도봉로150다길 3","서울특별시 도봉구 방학동 728","37.66634661","127.0444231","방학역(인천행 열차 승강장)","05:00","00:20","05:00","00:20","05:00","00:20","2","N","N","방학역","02-3492-0197","2021-08-13","3090000","2023-03-15 14:37:55.0"
"은평구청","서울특별시","은평구","11380","서울특별시 은평구 은평로 195","서울특별시 은평구 녹번동 84","37.6024542200","126.9288212000","은평구의회 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","은평구청","02-351-7313","2021-09-01","3110000","2023-03-15 14:37:55.0"
"동대문구청","서울특별시","동대문구","11230","서울특별시 동대문구 천호대로 145","서울특별시 동대문구 용두동 39-9","37.57439172","127.0398966","동대문구청 1층 민원실 우리은행 옆","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"동문장애인복지관","서울특별시","동대문구","11230","서울특별시 동대문구 장안벚꽃로7길 5(휘경동)","서울특별시 동대문구 휘경동 49-39","37.58315217","127.0731933","동문장애인복지관(2층 복도)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"동문장애인복지관","서울특별시","동대문구","11230","서울특별시 동대문구 장안벚꽃로7길 5(휘경동)","서울특별시 동대문구 휘경동 49-39","37.58315217","127.0731933","동문장애인복지관(4층 복도)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"동대문장애인복지관","서울특별시","동대문구","11230","서울특별시 동대문구 청계천로 521(용두동)","서울특별시 동대문구 용두동 255-69","37.57181346","127.0340474","동대문장애인복지관(정문)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"다사랑행복센터","서울특별시","동대문구","11230","서울특별시 동대문구 청계천로 521(용두동)","서울특별시 동대문구 용두동 255-69","37.57181346","127.0340474","다사랑행복센터(4층)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"경희대학교","서울특별시","동대문구","11230","서울특별시 동대문구 경희대로 26(회기동)","서울특별시 동대문구 회기동 1-5","37.59394914","127.054891","경희대학교(청운관 1층)","09:00","17:30","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"가치이룸자립생활센터","서울특별시","동대문구","11230","서울특별시 동대문구 한빛로 20(신설동)","서울특별시 동대문구 신설동 72-8","37.57737953","127.0254846","가치이룸자립생활센터(사무실 내)","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 동대문구청","02-2127-4259","2023-02-16","3050000","2023-03-15 14:37:55.0"
"하상장애인복지관","서울특별시","강남구","11680","서울특별시 강남구 개포로 613","서울특별시 강남구 개포동 12-5","37.4925543","127.0751338","복지관 1층 외부","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","하상장애인복지관","02-451-6000","2022-09-27","3220000","2023-03-15 14:37:55.0"
"강남장애인복지관","서울특별시","강남구","11680","서울특별시 강남구 개포로 605","서울특별시 강남구 개포동 12-10","37.491954","127.0734687","장애인복지관5층","09:00","18:00","09:00","14:00","00:00","23:59","2","N","Y","강남장애인복지관","02-445-8006","2022-09-27","3220000","2023-03-15 14:37:55.0"
"충현복지관","서울특별시","강남구","11680","서울특별시 강남구 논현로98길 16","서울특별시 강남구 역삼동 669-3","37.503611","127.036971","충현복지관 입구","09:00","18:00","00:00","23:59","00:00","23:59","2","N","Y","충현복지관","02-2192-0600","2022-09-27","3220000","2023-03-15 14:37:55.0"
"수서동주민센터","서울특별시","강남구","11680","서울특별시 강남구 광평로 301-4","서울특별시 강남구 수서동 718-2","37.48890229","127.104955","주민센터 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","Y","N","서울특별시 강남구 수서동주민센터","02-3423-8598","2022-09-27","3220000","2023-03-15 14:37:55.0"
"일원1동주민센터","서울특별시","강남구","11680","서울특별시 강남구 양재대로55길 14","서울특별시 강남구 일원동 712-3","37.491809","127.0880284","주민센터 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","N","N","서울특별시 강남구 일원1동주민센터","02-3423-8395","2022-09-27","3220000","2023-03-15 14:37:55.0"
"역삼1동주민센터","서울특별시","강남구","11680","서울특별시 강남구 역삼로7길 16","서울특별시 강남구 역삼동 829-20","37.495369","127.0332825","역삼1동 문화센터 1층","06:00","22:00","06:00","22:00","00:00","23:59","2","N","N","서울특별시 강남구 역삼1동주민센터","02-3423-8644","2022-09-27","3220000","2023-03-15 14:37:55.0"
"역삼2동주민센터","서울특별시","강남구","11680","서울특별시 강남구 도곡로43길 25","서울특별시 강남구 역삼동 761-26","37.495974","127.046801","주민센터 민원실","09:00","18:00","00:00","23:59","00:00","23:59","2","N","N","서울특별시 강남구 역삼2동주민센터","02-3423-7394","2022-09-27","3220000","2023-03-15 14:37:55.0"
"독산4동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 독산로 232","서울특별시 금천구 독산동 1022","37.4675545","126.9021682","1층 로비","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2509","2023-02-23","3170000","2023-03-15 14:37:55.0"
"시흥1동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 시흥대로58길 36","서울특별시 금천구 시흥동 886-6","37.4535537","126.9032507","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2514","2023-02-23","3170000","2023-03-15 14:37:55.0"
"시흥2동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 금하로 764","서울특별시 금천구 시흥동 1030","37.4496105","126.9146113","1층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2515","2023-02-23","3170000","2023-03-15 14:37:55.0"
"시흥3동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 시흥대로18길 40","서울특별시 금천구 시흥동 956-3","37.4402604","126.9058035","1층 로비","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2517","2023-02-23","3170000","2023-03-15 14:37:55.0"
"시흥4동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 독산로36길 14","서울특별시 금천구 시흥동 812-38","37.4589788","126.9061844","2층 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2519","2023-02-23","3170000","2023-03-15 14:37:55.0"
"시흥5동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 금하로24길 6","서울특별시 금천구 시흥동 910-5","37.45067291","126.9082725","2층민원실입구","09:00","18:00","00:00","00:00","00:00","00:00","1","N","N","서울특별시 금천구","02-2627-2521","2023-02-23","3170000","2023-03-15 14:37:55.0"
"가산동 주민센터","서울특별시","금천구","11545","서울특별시 금천구 가산로 129","서울특별시 금천구 가산동 144-3","37.4768907","126.891784","1층 민원실","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-2501","2023-02-23","3170000","2023-03-15 14:37:55.0"
"금천구청","서울특별시","금천구","11545","서울특별시 금천구 시흥대로73길 70","서울특별시 금천구 시흥동 1020","37.4570657","126.8960369","1층 민원검색대","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 금천구","02-2627-1390","2023-02-23","3170000","2023-03-15 14:37:55.0"
"금천어울림복지센터","서울특별시","금천구","11545","서울특별시 금천구 시흥대로73길 30","서울특별시 금천구 시흥동 113-142","37.4570125","126.8976261","지하주차장","09:00","18:00","00:00","00:00","00:00","00:00","1","N","N","금천어울림복지센터","02-6956-3420","2023-02-23","3170000","2023-03-15 14:37:55.0"
"안양천 산책로","서울특별시","금천구","11545","서울특별시 금천구 안양천동자전거길 1233","서울특별시 금천구 독산동 727-2","37.4568513","126.8929573","금천구청역앞 자전거보관소 화장실","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","서울특별시 금천구","02-2627-1390","2023-02-23","3170000","2023-03-15 14:37:55.0"
"안양천 다목적광장","서울특별시","금천구","11545","서울특별시 금천구 안양천동자전거길 1441","서울특별시 금천구 시흥동 672-11","37.4393698","126.9007998","기아대교 밑 화장실","00:00","23:59","00:00","23:59","00:00","23:59","1","N","N","서울특별시 금천구","02-2627-1390","2023-02-23","3170000","2023-03-15 14:37:55.0"
"금천장애인종합복지관","서울특별시","금천구","11545","서울특별시 금천구 시흥대로101길 17","서울특별시 금천구 독산동 1011-1","37.4639733","126.8963126","1층주차장","09:00","18:00","09:00","18:00","00:00","00:00","2","N","Y","금천장애인종합복지관","02-6912-8000","2023-02-23","3170000","2023-03-15 14:37:55.0"
"금천장애인자립생활센터","서울특별시","금천구","11545","서울특별시 금천구 두산로 70, C동630호","서울특별시 금천구 독산동 291-1","37.46896278","126.8956207","현대지식산업센터C동 630호","09:00","17:00","00:00","00:00","00:00","00:00","2","N","Y","금천장애인자립생활센터","070-4035-4340","2023-02-23","3170000","2023-03-15 14:37:55.0"
"지체장애인협회금천구지회","서울특별시","금천구","11545","서울특별시 금천구 시흥대로 155, 218호","서울특별시 금천구 시흥동 986-4","37.4478849","126.9026928","2층 사무실","09:00","17:00","00:00","00:00","00:00","00:00","2","N","Y","지체장애인협회금천구지회","02-809-9660","2023-02-23","3170000","2023-03-15 14:37:55.0"
"독산구립도서관","서울특별시","금천구","11545","서울특별시 금천구 독산로54길 114","서울특별시 금천구 독산동 375-2","37.4675802","126.9081059","1층 입구","09:00","22:00","09:00","17:00","00:00","00:00","1","N","N","독산구립도서관","02-863-9544","2023-02-23","3170000","2023-03-15 14:37:55.0"
"고속터미널역 9호선","서울특별시","서초구","32100","서울특별시 서초구 신반포로 179-3","서울특별시 서초구 잠원동 75-24","37.506097","127.004109","지하1층 8-1, 8-2 출구(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"경부선 고속버스터미널","서울특별시","서초구","32100","서울특별시 서초구 신반포로 194","서울특별시 서초구 반포동 19-4","37.506436","127.006834","17번 휠체어 탑승게이트","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"센트럴시티 고속버스터미널","서울특별시","서초구","32100","서울특별시 서초구 신반포로 176","서울특별시 서초구 반포동 19-3","37.503935","127.002413","13번 휠체어 탑승게이트","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"예술의전당","서울특별시","서초구","32100","서울특별시 서초구 남부순환로 2406","서울특별시 서초구 서초동 127-63","37.4802401962","127.014215","지하1층 비타민스테이션 인포메이션 옆","09:00","18:00","09:00","18:00","09:00","18:00","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"서초문화예술회관","서울특별시","서초구","32100","서울특별시 서초구 강남대로 201","서울특별시 서초구 양재동 25","37.481828","127.035957","1층 축제사무국 옆","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"서울성모병원","서울특별시","서초구","32100","서울특별시 서초구 반포대로 222","서울특별시 서초구 반포동 505","37.502394","127.005861","별관 외부 자전거 주차장","08:00","19:00","08:00","13:00","08:00","13:00","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"우면주공아파트","서울특별시","서초구","32100","서울특별시 서초구 바우뫼로7길 11","서울특별시 서초구 우면동 63","37.469862","127.023866","관리사무소 입구","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"서초역 2호선","서울특별시","서초구","32100","서울특별시 서초구 서초대로 233","서울특별시 서초구 서초동 1748-5","37.491823","127.007581","지하1층 3,4번 출구 모래함 옆","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"사당역 2호선","서울특별시","서초구","32100","서울특별시 서초구 남부순환로2103-2","서울특별시 서초구 방배동 504-1","37.476658","126.982584","지하1층 14번출구 현금 인출기 옆(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"잠원역 3호선","서울특별시","서초구","32100","서울특별시 서초구 잠원로4길 46","서울특별시 서초구 잠원동 100-1","37.512799","127.0112201796","지하1층 4번출구 고객안내센터 옆(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"이수역 7호선","서울특별시","서초구","32100","서울특별시 서초구 동작대로 118-2","서울특별시 서초구 방배동 1675","37.487082","126.982445","지하2층 대합실 개찰구와 계단 옆(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"내방역 7호선","서울특별시","서초구","32100","서울특별시 서초구 서초대로 103","서울특별시 서초구 방배동 874-16","37.489008","126.992713","지하2층 대합실 기술지원반 입구 벽면(개찰구 내)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"반포역 7호선","서울특별시","서초구","32100","서울특별시 서초구 신반포로 241","서울특별시 서초구 잠원동 103","37.508126","127.011497","지하2층 대합실 자동사진기 옆(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"논현역 7호선","서울특별시","서초구","32100","서울특별시 서초구 학동로 102","서울특별시 서초구 논현동 280","37.510791","127.019907","지하2층 대합실 개찰구 앞 기둥(개찰구 외)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"고속터미널역 7호선","서울특별시","서초구","32100","서울특별시 서초구 신반포로 186-2","서울특별시 서초구 반포동 128-4","37.505939","127.004566","지하2층 대합실 구호용품보관함 옆(개찰구 내)","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 서초구 사회복지과","02-2155-6652","2022-11-30","3210000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 종로17길 8","서울특별시 종로구 종로2가 39-2","37.57071251","126.9889587","3층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 새문안로 55","서울특별시 종로구 신문로2가 2-1","37.57049685","126.9710752","1층 로비","09:00","20:00","09:00","19:00","09:00","19:00","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 세종대로 172","서울특별시 종로구 세종로 1-68","37.57218478","126.9768169","해치마당 9번출구","05:00","23:59","05:00","23:59","05:00","23:59","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 종로 55","서울특별시 종로구 관철동 291-2","37.57021449","126.983238","1호선 지하1층 대합실","05:00","00:00","05:00","00:00","05:00","00:00","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 종로 지하 129","서울특별시 종로구 종로3가 10-5","37.57042804","126.992031","1호선 12번 출구 방향","05:00","00:00","05:00","00:00","05:00","00:00","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
"전동휠체어급속충전기","서울특별시","종로구","11110","서울특별시 종로구 종로 359","서울특별시 종로구 숭인동 81-39","37.57336617","127.0167339","1호선 상선 승강장 2-2지점","05:00","00:00","05:00","00:00","05:00","00:00","2","Y","Y","서울특별시 종로구청","02-2148-2564","2022-05-11","3000000","2023-03-15 14:37:55.0"
